173,1,2016-09-21 09:19:57.779409,,Meuble de rangement livres PF,2561,,Emplacements physiques / WH / Stock / Maternelle / 1er étage / GS1,1,1,6,,2016-09-21 09:19:57.779409,1.000,1.000,1,B050377,,18022,
174,1,2016-09-21 09:19:57.779409,,Chaise skaï noir sans accoudoir,2600,,Physical Locations / WH / Stock / Administration / 1er étage / Salle de réunion 1 er étage primaire ,1,1,6,,2016-09-21 09:19:57.779409,16.000,16.000,1,B014545,,19676,
175,1,2016-09-21 09:19:57.779409,,Rangement en bois et métal à 3 niveaux,2561,,Emplacements physiques / WH / Stock / Maternelle / 1er étage / GS1,1,1,6,,2016-09-21 09:19:57.779409,1.000,1.000,1,B050379,,18024,
176,1,2016-09-21 09:19:57.779409,,Table PF en stratifie blanc avec pieds en bois,2561,,Emplacements physiques / WH / Stock / Maternelle / 1er étage / GS1,1,1,6,,2016-09-21 09:19:57.779409,1.000,1.000,1,B302137,,18032,
177,1,2016-09-21 09:19:57.779409,,Table de réunion GF en stratifie hêtre,2600,,Physical Locations / WH / Stock / Administration / 1er étage / Salle de réunion 1 er étage primaire ,1,1,6,,2016-09-21 09:19:57.779409,1.000,1.000,1,B302667,,19685,
178,1,2016-09-21 09:19:57.779409,,Chaise skaï avec accoudoir,2600,,Physical Locations / WH / Stock / Administration / 1er étage / Salle de réunion 1 er étage primaire ,1,1,6,,2016-09-21 09:19:57.779409,1.000,1.000,1,B010483,,19690,
179,1,2016-09-21 09:19:57.779409,,Table élève MF,2552,,Physical Locations / WH / Stock / Administration / 1er étage / PS1 :Maternelle RDC,1,1,6,,2016-09-21 09:19:57.779409,1.000,1.000,1,B302098,,18739,
180,1,2016-09-21 09:19:57.779409,,Chaise en bois et métal,2600,,Physical Locations / WH / Stock / Administration / 1er étage / Salle de réunion 1 er étage primaire ,1,1,6,,2016-09-21 09:19:57.779409,1.000,1.000,1,B014558,,19681,
181,1,2016-09-21 09:19:57.779409,,Rangement couleur en bois PF,2552,,Physical Locations / WH / Stock / Administration / 1er étage / PS1 :Maternelle RDC,1,1,6,,2016-09-21 09:19:57.779409,8.000,8.000,1,B050356,,18729,
182,1,2016-09-21 09:19:57.779409,,Coiffeuse poupée,2552,,Physical Locations / WH / Stock / Administration / 1er étage / PS1 :Maternelle RDC,1,1,6,,2016-09-21 09:19:57.779409,1.000,1.000,1,B050357,,18730,
183,1,2016-09-21 09:19:57.779409,,Table basse PF,2561,,Emplacements physiques / WH / Stock / Maternelle / 1er étage / GS1,1,1,6,,2016-09-21 09:19:57.779409,2.000,2.000,1,B302136,,18031,
184,1,2016-09-21 09:19:57.779409,,Chaise skaï noir avec accoudoir,2600,,Physical Locations / WH / Stock / Administration / 1er étage / Salle de réunion 1 er étage primaire ,1,1,6,,2016-09-21 09:19:57.779409,1.000,1.000,1,B014556,,19679,
